molecule,inf_mean,matrix_perc [%]
2XSL_1_C-D,1.0,100.0
2Y8W_1_B,0.92,100.0
2Y8Y_1_B,0.92,100.0
2Y9H_1_F,0.93,100.0
2Y9H_1_H,0.93,100.0
2Y9H_1_J,0.87,100.0
2Y9H_1_N,0.91,100.0
2Z75_1_B,1.0,100.0
2ZI0_1_C-D,1.0,100.0
2ZKO_1_C-D,1.0,100.0
2ZUE_1_B,0.99,100.0
2ZY6_1_A,1.0,100.0
2ZZM_1_B,0.83,100.0
2ZZN_1_D,0.99,100.0
315D_1_A-B,0.86,100.0
332D_1_A-B,0.81,100.0
353D_1_A-B,0.93,100.0
354D_1_A-B,0.81,100.0
359D_1_B-A,0.91,100.0
361D_1_A,0.9,100.0
361D_1_B,0.89,100.0
364D_1_C-B-A,0.87,100.0
377D_1_A-B,0.81,100.0
397D_1_A-B,1.0,100.0
3A6P_1_E-D,0.96,100.0
3ADD_1_C,0.81,100.0
3ADL_1_B-C,0.95,100.0
3AL0_1_E,0.98,100.0
3AM1_1_B,0.99,100.0
3AMU_1_B,0.88,100.0
3AVU_1_T-G,0.75,100.0
3AVW_1_T-G,1.0,100.0
3AVX_1_T-G,0.99,100.0
3AVY_1_T-G,0.61,77.78
3BBM_1_B-C-A,0.94,100.0
3BNN_1_C-D,1.0,100.0
3BNR_1_C-D,1.0,100.0
3BT7_1_D,1.0,100.0
3C3Z_1_A-B,1.0,100.0
3CGP_1_B-A,1.0,100.0
3CGR_1_B-A,1.0,100.0
3CGS_1_B-A,1.0,100.0
3CJZ_1_A-B,1.0,100.0
3CUL_1_C,0.98,100.0
3D0U_1_A,0.99,100.0
3D2V_1_A,0.99,100.0
3DH3_1_F-E,1.0,100.0
3DIL_1_A,0.99,100.0
3E5C_1_A,1.0,100.0
3EGZ_1_B,0.96,100.0
3EPH_1_E,0.94,100.0
3EQT_1_C-D,1.0,100.0
3F2X_1_X,0.95,100.0
3FOZ_1_D,0.98,100.0
3FS0_1_B-A,0.84,100.0
3FTE_1_C-D,0.97,100.0
3FTF_1_C-D,1.0,100.0
3FTM_1_D-C,0.86,100.0
3G9C_1_Q,0.93,100.0
3GLP_1_B-A,0.96,100.0
3GM7_1_G-H,0.99,100.0
3GS5_1_A,0.99,100.0
3GS5_1_C,0.97,100.0
3GVN_1_A-B,1.0,100.0
3H5X_1_T-P,0.97,100.0
3HAX_1_E,1.0,100.0
3HHN_1_E,0.78,100.0
3HJW_1_D,1.0,100.0
3IAB_1_R,1.0,100.0
3IGI_1_A,0.97,100.0
3IVN_1_A,0.99,100.0
3JCS_1_3,0.87,100.0
3JCS_1_5,0.86,100.0
3JCS_1_6,0.93,100.0
3JXQ_1_L-K,1.0,100.0
3K1V_1_A,1.0,100.0
3KFU_1_L,0.98,100.0
3KMQ_1_B-C,0.94,100.0
3KNA_1_B-C,0.93,100.0
3KOA_1_B-C,0.79,100.0
3KS8_1_E-F,1.0,100.0
3L25_1_C-F,1.0,100.0
3LA5_1_A,0.99,100.0
3LOA_1_B-A,1.0,100.0
3LQX_1_B,1.0,100.0
3LRR_1_C-D,0.91,100.0
3MEI_1_A-B,1.0,100.0
3MJA_1_B,0.96,100.0
3MOJ_1_A,0.9,100.0
3MQK_1_D-E,0.95,100.0
3MXH_1_R,0.99,100.0
3NDB_1_M,0.95,100.0
3NJ7_1_C-D,1.0,100.0
3NKB_1_B,0.99,100.0
3NL0_1_B-C,0.9,100.0
3NMA_1_B-C,0.88,27.78
3NMU_1_E-K,0.77,100.0
3NPQ_1_A,0.93,100.0
3NVI_1_F,1.0,100.0
3OG8_1_C-D,1.0,100.0
3OIN_1_C,1.0,100.0
3OL9_1_B-F-C-G-D-H,0.76,100.0
3OVB_1_C,0.98,100.0
3OXE_1_A,0.99,100.0
3P22_1_A,1.0,100.0
3P59_1_E-A-C-G-B-D-F-H,0.96,100.0
3PDR_1_X,0.99,100.0
3Q3Z_1_V,0.99,100.0
3QRP_1_B-C,1.0,100.0
3R1C_1_E-F,1.0,100.0
3R1C_1_K-L,1.0,100.0
3R1C_1_Q-R,1.0,100.0
3R1D_1_A-B,0.91,100.0
3R1E_1_A-B,1.0,100.0
3R2D_1_R-S,1.0,100.0
3R9X_1_C,0.88,100.0
3RG5_1_B,0.85,100.0
3RKF_1_C,0.99,100.0
3RW6_1_H,0.99,100.0
3S49_1_E-F,1.0,100.0
3SIU_1_F,1.0,100.0
3SJ2_1_A-B,1.0,100.0
3SKI_1_A,0.99,100.0
3SKL_1_B,0.98,100.0
3SN2_1_B,0.99,100.0
3SNP_1_D,0.99,100.0
3SUX_1_X,0.99,100.0
3SZX_1_A-B,0.99,100.0
3TD0_1_B-A,1.0,100.0
3TRZ_1_U,1.0,100.0
3TS2_1_U,1.0,100.0
3TS2_1_V,1.0,100.0
3TZR_1_A-B,1.0,100.0
3U4M_1_B,0.99,100.0
3V7E_1_C,0.96,100.0
3VJR_1_B,1.0,100.0
3VNV_1_T-G,0.95,100.0
3VYX_1_B-C,1.0,100.0
3WBM_1_X-Y,1.0,100.0
3WFS_1_A,0.94,100.0
3ZGZ_1_B,0.89,100.0
402D_1_A-B,1.0,100.0
406D_1_A-E,1.0,77.78
409D_1_C-D,0.89,100.0
418D_1_A-B,1.0,100.0
419D_1_C-D,1.0,100.0
422D_1_A-B,1.0,100.0
433D_1_A-B,1.0,100.0
435D_1_C-D,1.0,100.0
438D_1_A-B,0.99,100.0
464D_1_A-B,1.0,100.0
472D_1_A-B,1.0,100.0
485D_1_A-B,0.82,100.0
4AL5_1_B,1.0,100.0
4AOB_1_A,0.98,100.0
4ATO_1_G,0.98,100.0
4AY2_1_C,1.0,100.0
4B3R_1_Z-W,0.85,100.0
4BW0_1_A,1.0,100.0
4C4W_1_H,1.0,100.0
4C7O_1_E,0.97,100.0
4C8Y_1_C,0.76,90.28
4C8Z_1_C,0.96,100.0
4C9D_1_D,0.84,100.0
4E48_1_A-B,1.0,100.0
4E58_1_D-C-E,0.8,95.83
4E59_1_A-B,1.0,100.0
4E5C_1_A-B,0.99,100.0
4E6B_1_A-B,0.89,100.0
4E6B_1_E-F,0.88,100.0
4E78_1_P-T,1.0,100.0
4E7A_1_P-T,1.0,100.0
4ENC_1_A,1.0,100.0
4ERD_1_C-D,1.0,100.0
4FEN_1_B,1.0,100.0
4FRG_1_B,0.97,100.0
4FVU_1_B-C,1.0,100.0
4G9Z_1_E-F,1.0,100.0
4GCW_1_B,0.98,100.0
4GHA_1_I-J,0.99,100.0
4GV6_1_C-B,1.0,100.0
4IFD_1_R,0.9,77.78
4IG8_1_B-C,1.0,100.0
4ILL_1_R,1.0,100.0
4J50_1_A-B,1.0,100.0
4JAB_1_A-B,0.97,100.0
4JAH_1_A-B,1.0,100.0
4JF2_1_A,1.0,100.0
4JRC_1_B,0.98,100.0
4JRT_1_A-B,1.0,100.0
4JXZ_1_B,1.0,100.0
4K27_1_U,1.0,100.0
4K31_1_B-C,0.99,100.0
4K4S_1_B-F-C-G-D-H,0.76,100.0
4K4U_1_B-C-D,0.97,100.0
4K4Z_1_N-O-P,0.96,100.0
4K50_1_B,1.0,100.0
4KQ0_1_B-E,1.0,100.0
4KR6_1_C,0.94,100.0
4KR6_1_D,0.95,100.0
4KYY_1_A-B,1.0,100.0
4KZD_1_R,1.0,100.0
4KZY_1_i,0.73,100.0
4KZZ_1_j,0.72,100.0
4L8H_1_R,1.0,100.0
4LFB_1_A,0.98,100.0
4LGT_1_E,1.0,100.0
4LVW_1_A,1.0,100.0
4LX6_1_A,0.99,100.0
4M4O_1_B,0.99,100.0
4M6D_1_H,0.9,100.0
4MCF_1_B-D-C-A,0.99,95.83
4N0T_1_B,0.95,100.0
4NLF_1_A,1.0,100.0
4O26_1_E,0.97,100.0
4O41_1_C-D,1.0,100.0
4OJI_1_A,0.98,100.0
4OOG_1_D,1.0,100.0
4OQU_1_A,0.99,100.0
4P3T_1_A-B,1.0,100.0
4P3U_1_B-A,0.97,100.0
4P3U_1_C-D,0.98,100.0
4P43_1_B-A,1.0,100.0
4P5J_1_A,1.0,100.0
4P97_1_A-B,1.0,100.0
4PCJ_1_A,1.0,100.0
4PCO_1_A-B,1.0,100.0
4PDB_1_I,0.99,100.0
4PKD_1_V,1.0,100.0
4PQV_1_A,0.98,100.0
4PR6_1_B,1.0,100.0
4PRF_1_B,0.98,100.0
4QEI_1_C,0.97,100.0
4QI2_1_G,0.98,100.0
4QIK_1_C-D,0.99,100.0
4QIL_1_C,1.0,100.0
4QLM_1_A,0.99,100.0
4QOZ_1_A,1.0,100.0
4QPX_1_P-T,1.0,100.0
4RDX_1_C,0.98,100.0
4RGE_1_C,0.97,100.0
4RMO_1_B,1.0,100.0
4RUM_1_A,1.0,100.0
4RWN_1_B-C,0.98,100.0
4RZD_1_A,0.99,100.0
4TS2_1_Y-X,0.97,100.0
4TUW_1_C,1.0,100.0
4U34_1_B-A,1.0,100.0
4U35_1_B-A,1.0,100.0
4U3L_1_A-B,1.0,100.0
4U7U_1_L,1.0,100.0
4V88_1_A6,0.97,100.0
4V90_1_AV,0.96,100.0
4V99_1_C2,0.86,100.0
4V9F_1_0,0.99,100.0
4V9F_1_9,0.99,100.0
4WF9_1_X,0.96,100.0
4WF9_1_Y,0.87,100.0
4WFL_1_A,1.0,100.0
4WQ1_1_3K,0.92,100.0
4WRT_1_V-R,0.93,100.0
4WSB_1_V-R,0.94,100.0
4WSM_1_1K,0.76,100.0
4WTC_1_T-P,0.98,100.0
4WTD_1_T-P,0.95,100.0
4WTE_1_T-P,0.95,100.0
4WTI_1_T-P,0.93,100.0
4WTJ_1_T-P,1.0,100.0
4WTK_1_T-P,0.93,100.0
4WTL_1_T-P,0.93,100.0
4WTM_1_T-P,0.93,100.0
4WZM_1_B-C,0.9,100.0
4WZQ_1_B-C,0.94,100.0
4X2B_1_B-C,0.81,100.0
4X4N_1_D,0.98,100.0
4X4U_1_G,0.9,100.0
4X4V_1_B,0.96,100.0
4X62_1_b-a,0.69,100.0
4XNR_1_X,1.0,100.0
4XW0_1_A-B,1.0,100.0
4XWF_1_A,1.0,100.0
4Y1M_1_B,1.0,100.0
4YAZ_1_R,1.0,100.0
4YCO_1_D,0.98,100.0
4YCP_1_B,0.99,100.0
4YYE_1_C,0.99,100.0
4Z0C_1_C,1.0,58.33
4Z31_1_C-D,1.0,100.0
4Z31_1_E,1.0,100.0
4Z4D_1_B-D,0.94,100.0
4Z7K_1_C,0.83,100.0
4ZLD_1_B,1.0,100.0
4ZNP_1_A,0.98,100.0
4ZT0_1_D,0.99,100.0
5AH5_1_D,0.91,100.0
5AMQ_1_C,0.89,100.0
5AMR_1_B-C,1.0,100.0
5AOX_1_C,1.0,100.0
5AXM_1_P,1.0,100.0
5AY2_1_A-B,1.0,100.0
5B2P_1_B,0.99,100.0
5B2T_1_A,0.99,100.0
5B63_1_D,0.92,100.0
5BJO_1_E,0.99,100.0
5BKL_1_UU-ll,0.85,77.78
5BKL_1_WW-V,0.89,100.0
5BKL_1_Y-n,0.64,77.78
5BKL_1_bb-qq,0.92,77.78
5BKL_1_e-P,0.52,77.78
5BKL_1_h-S,0.66,77.78
5BKL_1_i-T,0.69,77.78
5BKL_1_kk-TT,0.84,77.78
5BKL_1_m-X,0.67,77.78
5BKN_1_T-i,0.75,77.78
5BKN_1_TT-kk,0.41,8.33
5BKN_1_UU-ll,0.97,77.78
5BKN_1_V-WW,0.67,41.67
5BKN_1_X-m,0.72,77.78
5BKN_1_Y-n,0.66,77.78
5BKN_1_bb-qq,0.6,58.33
5BTM_1_A,1.0,100.0
5BTP_1_B,0.99,100.0
5C45_1_X-Y,0.99,100.0
5C9H_1_C-D,0.97,100.0
5C9H_1_G-E,0.96,100.0
5CCB_1_N,0.99,100.0
5CNR_1_A-B,1.0,100.0
5D0A_1_F,0.98,100.0
5D0B_1_F,0.98,100.0
5D5L_1_A,1.0,100.0
5D8H_1_A,0.99,100.0
5D8T_1_A-B,1.0,100.0
5DDP_1_A,0.99,100.0
5DE8_1_A,1.0,100.0
5DEA_1_C,1.0,100.0
5DH6_1_A,0.98,100.0
5DHB_1_A-B,1.0,100.0
5DHC_1_C-D,1.0,100.0
5E3H_1_B-C,1.0,100.0
5E6M_1_C,0.98,100.0
5E81_1_1K,0.79,100.0
5E81_1_2K,0.98,100.0
5E81_1_3L,0.83,100.0
5ED1_1_C-B,0.82,100.0
5ED2_1_F-E,0.79,100.0
5EL4_1_3L,0.83,100.0
5EW4_1_B-A,0.99,100.0
5F5F_1_B,1.0,100.0
5F5F_1_F,1.0,100.0
5F5H_1_C,1.0,100.0
5F5H_1_D,1.0,100.0
5F8J_1_B-C,1.0,100.0
5F8N_1_B-C,1.0,100.0
5F9F_1_F,1.0,100.0
5FJ4_1_H,1.0,100.0
5FJC_1_A,1.0,100.0
5FQ5_1_A,0.99,100.0
5G4T_1_A-B,0.95,100.0
5G4U_1_I-J,1.0,100.0
5H1K_1_C-D,1.0,100.0
5H9F_1_L,0.69,100.0
5HNJ_1_A-B,1.0,100.0
5HR6_1_C,0.98,100.0
5HR7_1_D,0.97,100.0
5IBB_1_1L,0.84,100.0
5ID6_1_G,1.0,100.0
5J7L_1_AA,0.98,100.0
5J7L_1_DA,0.99,100.0
5J7L_1_DB,1.0,100.0
5JAJ_1_X-Y,0.98,100.0
5JBG_1_X,1.0,100.0
5JC7_1_X-Y,1.0,100.0
5JCF_1_Y-X,1.0,100.0
5JCH_1_U-V,1.0,100.0
5JXS_1_B-C,0.94,100.0
5K7D_1_A,0.97,100.0
5KPY_1_A,1.0,100.0
5KVJ_1_A-B,0.97,100.0
5L00_1_A-B,1.0,100.0
5L4O_1_A,0.99,100.0
5LQO_1_A-B,1.0,100.0
5LQT_1_A-B,1.0,100.0
5LR3_1_A-B,1.0,100.0
5LR4_1_A-B,1.0,100.0
5LR5_1_C-D,1.0,100.0
5LYS_1_B,0.98,100.0
5LZS_1_3,0.94,100.0
5M0H_1_A,0.89,100.0
5M0I_1_E,1.0,100.0
5M0I_1_F,1.0,100.0
5M0J_1_E,1.0,100.0
5M0J_1_F,1.0,100.0
5M3H_1_V-R,0.94,100.0
5MGA_1_B,1.0,100.0
5MSF_1_R,1.0,100.0
5NDH_1_A,1.0,100.0
5NDI_1_B,1.0,100.0
5NFV_1_B,1.0,100.0
5NS3_1_C,0.99,100.0
5NWQ_1_A,0.98,100.0
5O7H_1_A,1.0,100.0
5SWD_1_B,1.0,100.0
5T16_1_H,1.0,100.0
5T2A_1_B,0.95,100.0
5T3K_1_A-B,1.0,100.0
5T5A_1_A,0.97,100.0
5T5H_1_A-C,0.97,100.0
5T5H_1_B,0.96,100.0
5T5H_1_D,0.94,100.0
5T5H_1_E,0.96,100.0
5T5H_1_G,0.98,100.0
5T5H_1_H,0.98,100.0
5T83_1_A,0.97,100.0
5TBW_1_1-4,0.98,100.0
5TBW_1_AS,0.99,100.0
5TPY_1_A,1.0,100.0
5TSN_1_P-T,1.0,100.0
5U0Q_1_C-D,1.0,100.0
5U30_1_B,0.96,100.0
5U3G_1_B,0.98,100.0
5UD5_1_C,1.0,100.0
5UDZ_1_W,1.0,100.0
5UED_1_A-B,1.0,100.0
5UNE_1_A-B,0.97,100.0
5UZ6_1_A,1.0,100.0
5V1K_1_A-B,1.0,100.0
5V3F_1_A,1.0,100.0
5VCI_1_A-B,1.0,100.0
5VJ9_1_C,1.0,100.0
5VW1_1_C,0.99,100.0
5VYC_1_i2,0.87,100.0
5W0O_1_C-D,1.0,100.0
5W1H_1_B,0.97,77.78
5WLH_1_B,1.0,77.78
5WT1_1_C,0.98,100.0
5WTI_1_B,0.99,100.0
5WTK_1_B,0.98,100.0
5X2G_1_B,1.0,100.0
5X6B_1_P,0.92,100.0
5XH7_1_B,1.0,100.0
5XJ2_1_G,0.85,100.0
5XTM_1_B,1.0,100.0
5XTM_1_D,0.99,100.0
5XUZ_1_B,1.0,100.0
5Y58_1_X,1.0,100.0
5Y6Z_1_B-C,0.98,100.0
5Y85_1_D,1.0,100.0
5ZQ8_1_D,1.0,100.0
5ZTM_1_C,0.99,100.0
5ZUU_1_E-F,1.0,100.0
5ZW4_1_D,0.95,100.0
6AAX_1_B,0.98,100.0
6AAY_1_B,0.98,100.0
6AJK_1_B,1.0,100.0
6ASO_1_I,0.95,100.0
6AZ1_1_1,0.96,100.0
6AZ3_1_1-7,0.97,100.0
6AZ3_1_2,0.96,100.0
6AZ3_1_3,0.98,100.0
6AZ3_1_4,0.97,100.0
6AZ3_1_5,0.95,100.0
6AZ3_1_6,0.92,100.0
6AZ3_1_8,0.98,100.0
6AZ4_1_A,1.0,100.0
6B44_1_M,0.83,41.67
6BGB_1_A-B,1.0,100.0
6BHJ_1_E,0.29,27.78
6C63_1_A,1.0,100.0
6CB3_1_B,1.0,100.0
6CF2_1_G,0.97,100.0
6CFJ_1_1x,0.99,100.0
6CK5_1_A,0.97,100.0
6CU1_1_A,1.0,100.0
6D12_1_C,0.96,100.0
6D3P_1_A,1.0,100.0
6DB9_1_R,0.96,100.0
6DCC_1_B,1.0,100.0
6DLR_1_A,0.99,100.0
6DME_1_A,1.0,100.0
6DN2_1_Y-X,0.86,100.0
6DTD_1_C,0.97,100.0
6DU4_1_B,0.96,100.0
6DVK_1_H,0.97,100.0
6E1S_1_A,0.83,36.11
6E8S_1_A,0.99,100.0
6E8T_1_A,0.97,100.0
6E8T_1_D,1.0,100.0
6E8U_1_B,0.98,100.0
6ERI_1_AA,0.98,100.0
6ERI_1_AB,0.99,100.0
6ERI_1_Ax,0.95,100.0
6ERI_1_BA,0.97,100.0
6F4G_1_C,1.0,100.0
6F4H_1_B,1.0,100.0
6F4H_1_D,0.98,100.0
6FF4_1_6,0.99,100.0
6FQ3_1_B,0.98,100.0
6FQL_1_B,0.98,100.0
6FZ0_1_A,0.99,100.0
6GSK_1_1K,0.75,100.0
6GSK_1_3L,0.89,100.0
6GSL_1_1L,0.82,100.0
6GVY_1_C-B,0.95,100.0
6GYV_1_A,0.99,100.0
6H0R_1_A,1.0,100.0
6H9H_1_D,1.0,100.0
6H9H_1_E,1.0,100.0
6HC5_1_A,1.0,100.0
6HTU_1_D-F,1.0,100.0
6HU6_1_B-F,0.99,100.0
6IA2_1_A-B,0.99,100.0
6ID1_1_H-F,0.79,100.0
6IV9_1_B,1.0,77.78
6JDV_1_B,1.0,100.0
6JOO_1_B,0.97,100.0
6JQ5_1_B-A,1.0,100.0
6JQ6_1_U,1.0,100.0
6KWQ_1_B,1.0,100.0
6KWR_1_B,0.97,100.0
6KYV_1_G,1.0,100.0
6LAX_1_A,1.0,100.0
6LSE_1_C-B,1.0,77.78
6LSF_1_C-B,0.36,58.33
6LSG_1_B-C,1.0,100.0
6LSH_1_B-C,0.99,100.0
6LT7_1_C,0.99,100.0
6LTU_1_B,0.98,100.0
6M0X_1_B,0.99,100.0
6M6S_1_C-D,1.0,100.0
6MFN_1_E-C,1.0,100.0
6MSF_1_R,1.0,100.0
6MSF_1_S,1.0,100.0
6MWN_1_B,1.0,100.0
6N2V_1_A,0.99,100.0
6N4O_1_C-D,0.98,100.0
6N5P_1_A,0.98,100.0
6O5F_1_D-C,0.85,100.0
6O7H_1_G-H,0.79,100.0
6OF1_1_1w,0.97,100.0
6OL3_1_C,1.0,100.0
6OZO_1_C-D,0.99,100.0
6OZP_1_C-D,1.0,100.0
6OZR_1_C-D,0.99,100.0
6P2H_1_A,0.99,100.0
6P7M_1_B,1.0,100.0
6PIJ_1_1,1.0,100.0
6PMO_1_A,0.98,100.0
6PMO_1_B,0.99,100.0
6PRV_1_A,0.95,100.0
6PZQ_1_J-I,0.89,100.0
6Q8V_1_A,0.98,100.0
6QDV_1_2-6,0.98,100.0
6QIT_1_A-B,1.0,100.0
6QN3_1_A-B,0.99,100.0
6QW6_1_4,0.98,100.0
6QW6_1_5,0.99,100.0
6R5Q_1_3,0.96,100.0
6R6P_1_2,0.91,100.0
6RA4_1_L-M,1.0,100.0
6RFL_1_U,0.98,100.0
6RJA_1_D,0.94,100.0
6RR7_1_D-E,0.93,100.0
6S0X_1_a,0.76,100.0
6S8B_1_V-U,0.77,100.0
6SKG_1_BB,0.98,100.0
6SQN_1_Y,1.0,100.0
6SVS_1_A,1.0,100.0
6SX2_1_C-D,1.0,100.0
6SY4_1_C,0.96,100.0
6SY6_1_D,0.9,100.0
6SZU_1_V-M,1.0,100.0
6SZV_1_R-M,0.95,100.0
6T4Q_1_6,0.99,100.0
6T4Q_1_7,0.99,100.0
6TB3_1_n,0.78,100.0
6TFF_1_A,1.0,100.0
6TH6_1_BA,0.99,100.0
6TPQ_1_V,0.77,100.0
6TQA_1_G,1.0,100.0
6TQB_1_B,0.89,100.0
6TW1_1_V-M,1.0,100.0
6TY9_1_T-N,0.76,100.0
6U8D_1_A,1.0,100.0
6UFG_1_A,1.0,100.0
6UFG_1_B,0.99,100.0
6UFJ_1_C,1.0,100.0
6UFM_1_A,0.99,100.0
6UFM_1_B,1.0,100.0
6UGG_1_B,0.99,100.0
6UGI_1_A,1.0,100.0
6V9B_1_B-D,0.95,77.78
6VEM_1_A-B,1.0,100.0
6VRB_1_B,1.0,100.0
6W5C_1_B,0.76,100.0
6WBR_1_B,0.96,100.0
6WOO_1_3,1.0,100.0
6X5M_1_r,0.78,100.0
6XA1_1_Bv,0.93,100.0
6XH2_1_D,0.99,100.0
6XJQ_1_A,0.98,100.0
6XN3_1_R-T,0.94,100.0
