name,barnaba,clarna,dssr,fred,maxit,metbp,mc,rnapolis,rnaview
2BBV_1_N,2,0,0,0,0,0,0,0,0
2BH2_1_D,2,1,2,0,0,1,2,3,1
2BTE_1_B,16,8,11,9,3,8,6,14,9
2CSX_1_C,18,7,11,7,3,7,9,12,7
2DLC_1_Y,6,3,5,4,1,3,1,3,3
2DRA_1_B,1,1,1,1,1,1,1,2,1
2DU3_1_D,16,6,11,5,4,6,6,10,8
2E9R_1_A-B,1,0,0,0,0,0,2,0,0
2E9T_1_B-C,1,0,1,0,0,0,1,1,0
2E9Z_1_B-C,0,0,2,0,0,0,2,0,2
2ET8_1_A-B,4,2,2,1,1,1,2,2,1
2F8K_1_B,1,0,1,0,0,0,0,1,0
2F8S_1_C-D,9,0,1,0,0,0,3,0,2
2GIC_1_R,2,0,0,0,0,0,0,1,0
2GJW_1_I-J-L,10,2,5,1,1,3,1,2,2
2H1M_1_A-B,2,2,2,0,0,0,0,2,0
2HVY_1_E,9,4,6,3,4,5,4,5,3
2HW8_1_B,5,4,3,3,1,3,1,5,2
2I82_1_F,1,1,1,1,1,1,2,1,0
2I91_1_F-E,0,0,0,0,0,0,0,1,0
2IZN_1_R,0,0,0,0,0,0,0,1,0
2JLT_1_A,1,1,1,1,1,1,1,1,1
2NUE_1_C,1,0,1,0,0,0,0,1,1
2O3V_1_A-B,4,4,4,3,2,4,3,3,4
2O3X_1_A-B,2,1,1,1,1,1,1,1,1
2O3Y_1_A-B,4,4,5,3,2,4,4,3,5
2OE5_1_B-A,3,2,3,2,1,2,1,1,3
2OE8_1_B-A,3,2,3,2,1,2,1,1,3
2OEU_1_A,7,4,4,3,3,4,4,5,1
2OIU_1_P,9,5,8,3,3,4,4,6,6
2OIU_1_Q,8,7,8,5,4,5,6,8,7
2OZB_1_C,5,2,2,1,2,2,2,3,2
2P7E_1_D-C-P,8,5,6,4,4,5,7,8,5
2PJP_1_B,0,0,0,0,0,0,0,2,0
2PN3_1_A-B,5,2,3,1,2,2,2,3,2
2PY9_1_F,0,0,0,0,0,0,0,2,0
2QUS_1_A,11,2,10,2,0,3,4,5,1
2QUW_1_B,8,4,6,3,0,3,3,5,0
2QWY_1_C,21,13,14,8,2,9,9,10,9
2R1S_1_A-B,1,1,1,1,1,1,1,1,0
2R8S_1_R,33,23,25,23,9,20,17,21,20
2RFK_1_E-D-F,7,0,3,0,0,1,4,2,2
2UXC_1_X-Y,1,0,0,0,0,0,1,0,0
2VPL_1_B,7,3,2,3,1,3,1,3,3
2XBM_1_E-F,6,3,6,2,2,4,5,5,4
2XDB_1_G,7,3,5,3,1,3,3,4,2
2XLK_1_C,2,1,1,2,1,2,1,1,1
2XS2_1_B,1,1,0,1,0,0,1,1,1
2XS5_1_D,1,1,0,1,0,1,1,1,1
2XS7_1_B,1,1,0,1,0,1,1,1,1
2XZL_1_B,1,1,0,1,0,1,1,1,1
2Y8W_1_B,2,1,0,1,0,1,0,0,0
2Y8Y_1_B,2,0,0,1,0,1,0,0,0
2Y9H_1_F,1,0,0,1,0,1,0,0,0
2Y9H_1_H,2,0,0,1,0,1,0,0,0
2Y9H_1_J,3,1,1,1,0,1,1,0,0
2Y9H_1_N,1,0,0,1,0,1,0,1,0
2Z75_1_B,30,14,16,9,6,14,12,17,13
2ZKO_1_C-D,1,0,1,0,0,0,1,1,0
2ZUE_1_B,8,7,10,7,4,6,6,10,7
2ZY6_1_A,7,3,3,2,1,3,5,5,3
2ZZM_1_B,19,10,16,9,5,9,14,19,15
2ZZN_1_D,13,5,9,7,2,5,6,9,4
315D_1_A-B,2,0,0,2,0,2,0,0,0
332D_1_A-B,2,0,0,2,0,2,0,0,0
353D_1_A-B,1,0,1,0,0,0,4,0,0
354D_1_A-B,8,4,5,5,4,5,7,5,5
359D_1_B-A,8,4,5,4,1,3,6,6,4
361D_1_A,5,1,3,0,1,2,3,1,1
361D_1_B,6,0,2,0,1,2,2,2,1
364D_1_C-B-A,12,7,10,4,4,4,7,7,8
377D_1_A-B,2,0,0,2,0,2,0,0,0
3A6P_1_E-D,1,0,1,0,0,0,1,0,1
3ADD_1_C,7,5,5,3,3,4,4,7,3
3ADL_1_B-C,0,0,1,0,2,0,1,1,0
3AGV_1_S,2,1,0,1,0,1,1,1,1
3AL0_1_E,11,8,10,7,3,8,8,10,6
3AM1_1_B,9,5,5,3,2,3,4,8,3
3AMU_1_B,13,7,8,7,4,6,12,7,8
3AVU_1_T-G,3,0,1,1,0,2,2,0,2
3AVX_1_T-G,1,0,0,0,0,0,1,1,0
3AVY_1_T-G,7,0,2,0,1,0,2,1,1
3BBM_1_B-C-A,14,7,8,5,4,7,9,9,6
3BNN_1_C-D,5,4,4,2,2,2,4,4,4
3BNR_1_C-D,5,4,4,3,2,3,4,5,4
3BT7_1_D,0,0,0,0,0,0,0,1,0
3CGS_1_B-A,0,0,0,0,0,0,0,1,0
3CUL_1_C,10,4,5,4,3,5,5,8,6
3D0U_1_A,29,21,23,19,14,17,25,26,18
3D2V_1_A,28,11,14,14,6,12,14,18,10
3DD2_1_B,3,2,2,2,1,2,1,3,1
3DH3_1_F-E,10,8,8,6,5,7,9,8,5
3DIL_1_A,30,21,25,18,15,19,25,25,18
3E5C_1_A,7,5,6,4,3,5,5,6,6
3EGZ_1_B,11,7,9,4,2,4,9,8,7
3EPH_1_E,14,8,15,6,4,8,12,12,8
3EQT_1_C-D,0,0,0,0,0,0,0,1,0
3F2X_1_X,18,14,17,14,8,16,15,20,16
3FOZ_1_D,17,10,12,8,4,9,8,15,6
3FS0_1_B-A,1,1,1,1,1,1,1,1,1
3FTE_1_C-D,7,4,5,3,2,3,4,6,3
3FTF_1_C-D,7,5,6,4,4,4,4,5,5
3FTM_1_D-C,2,1,2,1,1,1,2,1,2
3G9C_1_Q,29,8,11,5,3,10,11,15,10
3G9Y_1_C,1,1,0,1,0,0,1,1,0
3GLP_1_B-A,2,1,2,0,0,0,2,0,0
3GM7_1_G-H,6,2,6,0,0,0,6,1,0
3GS5_1_A,4,3,3,2,0,1,3,2,2
3GS5_1_C,7,5,6,3,3,4,7,6,5
3HAX_1_E,5,3,5,2,3,4,3,5,3
3HHN_1_E,22,10,10,10,2,9,6,14,6
3HJW_1_D,3,2,4,1,2,3,2,4,2
3IAB_1_R,4,1,2,0,0,0,0,1,2
3IBK_1_A,4,3,3,3,3,4,3,4,3
3IBK_1_B,4,3,3,3,3,3,3,3,3
3ICE_1_G,1,0,0,0,0,0,0,0,0
3IEV_1_D,2,0,0,0,0,0,0,1,0
3IGI_1_A,90,59,65,49,30,49,49,68,49
3IVN_1_A,16,8,11,8,2,8,7,9,7
3JCS_1_3,61,16,37,8,8,13,25,25,20
3JCS_1_5,18,7,15,5,4,5,11,17,7
3JCS_1_6,16,3,7,0,0,3,3,6,4
3K1V_1_A,14,9,11,5,2,8,5,7,6
3KFU_1_L,11,8,10,7,2,6,9,12,6
3KMQ_1_B-C,1,0,0,0,0,0,1,0,1
3KNA_1_B-C,2,0,2,0,0,1,1,1,1
3KOA_1_B-C,0,0,1,0,0,0,4,0,0
3LA5_1_A,19,9,11,10,3,9,9,11,7
3LOA_1_B-A,3,2,4,0,0,0,3,2,1
3LQX_1_B,6,6,4,5,3,3,3,5,6
3LRR_1_C-D,3,0,0,0,0,0,2,0,1
3MDG_1_C,1,1,0,1,0,1,1,1,1
3MDI_1_C,1,1,0,1,0,1,1,1,0
3MEI_1_A-B,2,2,2,1,0,1,1,2,1
3MIJ_1_A,4,3,4,3,3,3,3,4,3
3MJA_1_B,1,0,2,0,0,0,1,0,0
3MOJ_1_A,13,3,6,3,1,5,7,6,4
3MQK_1_D-E,6,1,4,0,0,3,6,2,1
3MXH_1_R,22,11,18,12,3,8,9,12,9
3NDB_1_M,23,15,21,14,7,12,13,15,17
3NJ7_1_C-D,2,0,0,0,0,0,0,0,0
3NKB_1_B,12,7,11,6,2,6,6,9,6
3NL0_1_B-C,2,0,2,0,0,0,1,0,1
3NMA_1_B-C,0,0,0,0,0,0,1,0,1
3NMU_1_E-K,15,4,10,3,3,3,6,7,11
3NPQ_1_A,13,7,7,5,1,6,4,7,8
3NVI_1_F,6,4,4,4,3,3,3,4,4
3OIN_1_C,2,0,0,0,0,0,0,2,0
3OL9_1_B-F-C-G-D-H,2,0,1,0,0,0,2,0,4
3OVB_1_C,2,1,1,1,1,1,2,3,0
3OXE_1_A,13,8,9,6,3,7,6,9,7
3P22_1_A,1,1,1,1,1,1,0,2,1
3P59_1_E-A-C-G-B-D-F-H,6,3,5,2,0,2,6,4,4
3P6Y_1_S,1,0,0,0,0,0,0,1,0
3PDR_1_X,37,19,24,20,6,16,17,24,14
3Q3Z_1_V,18,9,11,8,4,7,9,12,7
3QJJ_1_Q,1,1,0,0,0,1,1,1,1
3QJJ_1_R,1,0,0,0,0,1,1,1,1
3QRP_1_B-C,1,1,1,0,0,0,0,0,0
3R1C_1_E-F,2,2,2,2,2,2,2,2,0
3R1C_1_K-L,2,2,2,2,2,2,2,2,0
3R1C_1_Q-R,2,2,2,2,2,2,2,2,0
3R1D_1_A-B,1,3,1,0,1,0,1,1,0
3R2D_1_R-S,3,2,2,2,2,2,2,2,3
3R9X_1_C,4,0,4,0,0,0,1,1,2
3RG5_1_B,10,7,9,6,4,6,7,13,6
3RKF_1_C,15,7,8,8,1,7,8,11,6
3RW6_1_H,13,7,8,6,3,6,7,9,7
3SIU_1_F,7,3,3,2,2,3,3,3,3
3SJ2_1_A-B,3,4,3,2,3,2,3,3,0
3SKI_1_A,7,3,5,2,0,2,2,3,3
3SKL_1_B,10,3,5,1,0,2,2,4,2
3SN2_1_B,0,0,0,0,0,0,0,1,0
3SNP_1_D,0,0,0,0,0,0,0,2,0
3SUX_1_X,11,8,9,5,4,6,9,11,9
3SZX_1_A-B,3,2,3,0,0,0,1,0,0
3TD0_1_B-A,4,3,4,3,3,3,3,4,4
3TRZ_1_U,3,0,1,0,0,1,1,4,0
3TS2_1_U,2,0,0,1,0,0,0,1,0
3TS2_1_V,1,0,0,0,0,0,0,1,0
3TZR_1_A-B,6,4,4,2,2,4,3,4,3
3U4M_1_B,24,16,16,15,7,15,16,18,11
3V7E_1_C,26,10,13,9,4,10,11,10,12
3VJR_1_B,1,1,2,1,1,1,2,4,1
3VNV_1_T-G,1,0,0,0,0,0,1,0,0
3WBM_1_X-Y,4,3,3,1,0,1,3,2,2
3WFS_1_A,20,8,11,7,2,7,8,11,4
3X1L_1_I,0,0,0,0,0,0,0,3,0
3ZC0_1_M,1,0,0,0,0,0,0,0,0
3ZGZ_1_B,12,9,11,10,3,9,8,14,8
402D_1_A-B,2,2,2,2,0,2,2,2,2
406D_1_A-E,3,1,1,1,0,0,1,0,0
409D_1_C-D,0,0,0,0,0,2,0,0,2
418D_1_A-B,2,0,0,0,0,0,0,0,0
422D_1_A-B,2,2,2,2,0,0,2,0,0
435D_1_C-D,1,0,0,0,0,0,0,0,0
485D_1_A-B,2,0,0,2,0,2,0,0,0
4AL5_1_B,1,1,1,1,1,1,1,1,1
4AOB_1_A,23,12,14,9,3,10,6,12,13
4ATO_1_G,6,4,3,4,1,3,4,4,3
4AY2_1_C,1,1,1,1,0,0,0,1,0
4B3G_1_H,0,0,0,0,0,0,1,0,0
4B3R_1_Z-W,2,0,2,0,0,1,0,1,0
4BW0_1_A,7,5,5,4,4,5,3,6,5
4C4W_1_H,7,3,5,2,1,3,1,4,3
4C7O_1_E,3,0,1,0,0,0,1,0,1
4C8Y_1_C,2,1,1,1,3,1,0,0,1
4C8Z_1_C,1,0,1,0,0,0,0,1,1
4C9D_1_D,1,0,1,0,0,0,1,1,0
4CSF_1_u,1,1,0,1,0,0,1,1,0
4E48_1_A-B,6,2,6,1,1,1,6,1,1
4E58_1_D-C-E,3,3,2,1,0,2,3,1,1
4E59_1_A-B,1,2,1,0,0,0,0,0,1
4E5C_1_A-B,1,2,1,0,1,0,1,1,0
4E7A_1_P-T,1,0,0,0,0,0,0,0,0
4ED5_1_D,1,1,0,1,0,0,1,0,0
4ENC_1_A,8,4,6,4,2,5,2,6,4
4ERD_1_C-D,5,3,5,2,0,2,2,1,0
4F3T_1_R,0,0,0,0,0,0,1,0,0
4FEN_1_B,20,11,12,11,2,10,9,11,7
4FRG_1_B,15,6,12,5,4,7,5,5,5
4GCW_1_B,14,7,8,7,4,6,6,10,4
4GHA_1_I-J,0,0,0,0,0,0,1,0,0
4IFD_1_R,0,0,0,0,0,0,1,0,0
4ILL_1_R,2,0,0,0,0,0,0,1,0
4J1G_1_E,1,0,0,0,0,0,0,1,0
4J50_1_A-B,3,2,3,0,0,0,2,3,1
4JF2_1_A,12,7,8,6,2,5,6,8,6
4JNG_1_L,3,0,0,0,0,0,0,3,0
4JRC_1_B,12,5,8,7,2,7,7,7,2
4JXZ_1_B,13,9,10,7,3,7,7,13,7
4K27_1_U,9,9,9,4,5,5,8,8,6
4K31_1_B-C,4,4,4,4,4,4,5,5,4
4K4U_1_B-C-D,2,0,2,0,0,0,2,0,1
4K4Z_1_N-O-P,1,0,0,0,0,0,2,0,0
4K50_1_B,2,1,2,1,1,1,0,2,2
4KQ0_1_B-E,5,6,5,4,5,4,5,5,0
4KR6_1_C,10,0,1,0,0,1,3,2,3
4KR6_1_D,5,0,1,0,0,0,1,2,2
4KYY_1_A-B,3,2,3,2,2,2,3,2,2
4KZD_1_R,18,12,15,14,5,14,15,17,7
4KZY_1_i,594,183,346,114,96,181,199,295,218
4KZZ_1_j,19,5,10,6,3,5,6,14,8
4L8H_1_R,0,0,0,0,0,0,0,1,0
4LFB_1_A,427,223,291,200,100,206,190,299,188
4LGT_1_E,1,1,1,1,1,1,1,1,0
4LVW_1_A,15,11,13,9,4,8,10,14,13
4LX6_1_A,19,9,11,10,3,9,9,11,6
4M4O_1_B,9,5,8,4,2,5,6,7,3
4M6D_1_H,11,4,7,3,2,4,9,6,2
4M7A_1_P,1,1,0,1,0,1,1,1,1
4MCF_1_B-D-C-A,2,2,2,0,1,0,1,2,2
4N0T_1_B,10,2,4,1,2,2,4,6,4
4NH3_1_B,0,0,0,0,0,0,0,1,0
4NH6_1_B,1,0,0,0,0,0,0,1,0
4NLF_1_A,5,4,5,3,2,3,3,4,4
4O26_1_E,9,2,5,3,0,2,2,3,4
4OJI_1_A,8,4,6,4,3,5,4,5,4
4OQU_1_A,22,7,12,9,1,7,2,7,8
4P3T_1_A-B,5,4,5,3,2,3,4,4,4
4P3U_1_B-A,4,1,2,1,1,1,1,1,1
4P3U_1_C-D,3,2,2,0,0,0,2,1,0
4P43_1_B-A,2,2,2,2,2,2,2,3,2
4P5J_1_A,13,8,8,7,4,7,7,13,5
4P97_1_A-B,1,1,1,1,1,1,1,2,1
4PCJ_1_A,6,4,4,3,2,2,4,3,4
4PDB_1_I,8,5,6,5,0,2,4,4,3
4PEH_1_Z,0,0,0,0,0,0,0,1,0
4PKD_1_V,3,3,4,3,2,2,3,4,3
4PMW_1_D,0,0,0,0,0,0,0,1,0
4PQV_1_A,9,5,5,3,2,3,3,7,4
4PR6_1_B,11,7,9,6,2,6,4,9,6
4PRF_1_B,15,7,12,5,2,5,8,7,6
4PWD_1_T,1,1,0,0,0,1,1,2,1
4QCL_1_B,0,0,0,0,0,0,0,1,0
4QEI_1_C,19,8,13,8,5,7,8,14,8
4QI2_1_G,1,0,0,0,0,0,0,0,0
4QIK_1_C-D,3,2,2,2,2,2,2,2,2
4QLM_1_A,18,14,16,12,6,11,9,15,10
4QQB_1_P,2,0,0,0,0,0,0,2,0
4QU6_1_B,0,0,0,0,0,0,1,0,0
4QU7_1_X,0,0,0,0,0,0,1,1,0
4R3I_1_B,1,0,0,0,0,0,0,0,0
4RDX_1_C,16,8,11,8,3,6,11,14,6
4RGE_1_C,11,6,8,7,3,7,8,10,7
4RMO_1_B,16,3,7,3,2,8,3,7,2
4RUM_1_A,11,5,8,5,2,6,5,10,5
4RZD_1_A,14,5,6,5,1,5,7,8,6
4TS2_1_Y-X,18,15,14,13,4,13,15,19,8
4TYY_1_B,1,0,0,0,0,0,0,0,0
4U7U_1_L,8,1,3,1,1,1,3,5,0
4V88_1_A6,529,231,338,202,117,229,255,336,210
4V90_1_AV,15,7,11,5,3,6,8,13,6
4V99_1_C2,6,1,1,0,0,0,2,1,1
4V9F_1_0,867,466,591,450,181,422,412,624,384
4V9F_1_9,39,28,30,22,7,20,20,23,21
4W5N_1_B,0,0,0,0,0,0,0,1,0
4WF9_1_X,899,362,552,333,149,368,355,539,346
4WF9_1_Y,58,20,42,9,2,18,20,23,25
4WFL_1_A,22,11,14,9,6,9,10,14,10
4WQ1_1_3K,13,3,5,1,2,2,9,5,4
4WRT_1_V-R,2,2,2,1,0,2,1,2,1
4WSB_1_V-R,5,0,2,0,0,0,0,1,1
4WSM_1_1K,23,2,11,2,2,2,11,5,5
4WZM_1_B-C,3,1,1,0,0,0,1,0,0
4WZQ_1_B-C,0,0,0,0,0,0,0,0,2
4X2B_1_B-C,2,0,2,0,0,1,2,0,2
4X4N_1_D,2,0,3,0,0,0,1,1,1
4X4U_1_G,2,0,2,0,0,0,2,0,0
4X4V_1_B,2,1,1,1,1,1,2,2,0
4X62_1_b-a,2,0,1,0,0,0,0,1,1
4XNR_1_X,19,8,11,9,2,8,7,10,6
4XW0_1_A-B,3,3,3,1,2,3,3,3,3
4XWF_1_A,8,4,4,2,2,4,2,6,4
4Y1M_1_B,14,11,13,8,5,7,8,12,8
4YAZ_1_R,22,11,16,11,2,7,8,9,10
4YCO_1_D,13,9,12,10,3,9,9,17,5
4YCP_1_B,14,10,13,9,3,9,9,15,7
4YYE_1_C,14,11,13,11,5,10,9,14,8
4Z0C_1_C,0,0,0,0,0,0,0,1,0
4Z31_1_C-D,3,3,3,1,2,2,3,3,3
4Z31_1_E,1,1,1,0,0,1,1,1,1
4Z7K_1_C,3,0,0,0,0,1,1,2,0
4ZNP_1_A,16,6,8,4,3,6,4,10,6
4ZT0_1_D,6,1,4,0,0,0,1,1,2
5AH5_1_D,12,12,13,11,3,9,10,14,7
5AMQ_1_C,1,0,0,0,0,0,0,0,0
5AOR_1_C,0,0,0,0,0,0,0,1,0
5AOX_1_C,11,5,8,5,2,5,5,9,4
5AXM_1_P,13,10,11,9,4,8,9,17,7
5AY2_1_A-B,2,0,0,0,0,0,0,0,0
5B2P_1_B,11,6,8,7,4,6,5,9,6
5B2T_1_A,6,1,4,0,0,1,1,4,0
5B63_1_D,12,4,7,6,3,7,7,10,6
5BJO_1_E,13,9,10,9,4,9,10,11,9
5BKL_1_UU-ll,1,0,0,0,0,0,0,0,0
5BKL_1_WW-V,3,0,0,0,0,0,1,1,0
5BKL_1_Y-n,0,0,1,0,0,0,0,0,1
5BKL_1_bb-qq,3,1,1,0,0,1,1,0,1
5BKL_1_e-P,2,0,1,0,0,0,1,0,0
5BKL_1_h-S,3,0,0,0,0,0,0,0,1
5BKL_1_i-T,1,0,1,0,0,0,1,0,0
5BKL_1_kk-TT,1,0,0,0,0,0,1,0,0
5BKL_1_m-X,2,0,0,0,0,0,1,0,0
5BKN_1_T-i,1,0,1,0,0,0,1,0,0
5BKN_1_TT-kk,1,0,0,0,0,0,3,0,0
5BKN_1_UU-ll,1,0,0,0,0,0,0,0,0
5BKN_1_V-WW,7,0,0,0,0,0,1,0,0
5BKN_1_Y-n,0,0,1,0,0,0,0,0,1
5BKN_1_bb-qq,5,0,0,0,0,0,1,0,2
5BKN_1_e,1,0,0,0,0,0,0,0,0
5BTM_1_A,8,6,7,6,3,3,5,4,5
5BTP_1_B,12,4,6,5,2,5,6,8,4
5BZ1_1_B,1,0,0,1,0,0,0,0,0
5C0Y_1_C,1,0,0,1,0,0,0,0,0
5C0Y_1_D,2,0,0,1,0,0,0,0,0
5C45_1_X-Y,18,16,16,13,9,16,10,22,12
5C9H_1_C-D,3,0,2,0,0,0,3,2,0
5C9H_1_G-E,2,0,1,0,0,0,1,1,0
5CCB_1_N,14,7,11,6,2,6,10,10,7
5CNR_1_A-B,1,1,1,1,1,1,1,2,1
5D0A_1_F,1,1,1,1,0,1,1,1,1
5D0B_1_F,2,1,2,2,0,2,2,2,1
5D5L_1_A,11,6,7,5,1,6,6,7,6
5D8H_1_A,23,11,18,11,7,13,13,20,10
5DDP_1_A,9,8,9,8,4,6,7,8,5
5DE8_1_A,14,13,12,12,1,12,13,13,10
5DEA_1_C,14,13,12,12,1,12,14,13,10
5DH6_1_A,7,4,5,3,2,5,3,6,3
5E3H_1_B-C,1,0,0,0,0,0,1,0,0
5E6M_1_C,13,9,14,8,5,7,10,15,9
5E81_1_1K,26,4,13,1,0,3,7,11,6
5E81_1_2K,9,4,5,3,2,3,5,7,4
5E81_1_3L,21,5,12,1,4,4,7,7,10
5ED1_1_C-B,2,1,1,1,0,1,3,1,1
5ED2_1_F-E,1,1,1,1,0,1,1,1,1
5EIM_1_C,0,0,0,0,0,0,0,1,0
5EL4_1_3L,15,3,11,3,1,3,11,8,8
5EV3_1_B,0,0,0,0,0,0,0,1,0
5EV4_1_B,0,0,0,0,0,0,0,1,0
5EW4_1_B-A,7,6,6,1,0,1,6,5,5
5F5F_1_B,3,2,1,2,1,2,1,2,1
5F5F_1_F,3,2,1,2,1,2,1,2,1
5F5H_1_C,2,1,1,1,0,1,0,1,1
5F5H_1_D,4,2,2,2,0,2,2,2,2
5F9F_1_F,1,0,1,0,0,0,0,1,1
5FJ4_1_H,5,4,3,3,3,4,4,5,3
5FJC_1_A,19,12,13,12,4,9,6,13,13
5FQ5_1_A,5,0,4,0,0,0,1,0,1
5G4T_1_A-B,5,4,4,3,3,4,4,4,4
